participant_id,trial_id,chart_type,permuted,is_correct,response_time_ms
4bfefcaa-a537-4761-b09a-6142e11481de,line-p-06,line chart,permuted,False,13117.0
4bfefcaa-a537-4761-b09a-6142e11481de,line-np-08,line chart,ordered,False,10362.0
4bfefcaa-a537-4761-b09a-6142e11481de,line-p-04,line chart,permuted,False,8866.0
4bfefcaa-a537-4761-b09a-6142e11481de,cf-np-02,colorfield,ordered,True,14642.0
4bfefcaa-a537-4761-b09a-6142e11481de,cf-p-00,colorfield,permuted,False,9194.0
4bfefcaa-a537-4761-b09a-6142e11481de,cf-np-08,colorfield,ordered,False,8590.0
4bfefcaa-a537-4761-b09a-6142e11481de,cf-p-04,colorfield,permuted,False,15292.0
4bfefcaa-a537-4761-b09a-6142e11481de,cf-p-01,colorfield,permuted,False,11402.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,cf-p-02,colorfield,permuted,False,28914.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,cf-p-04,colorfield,permuted,False,26777.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,cf-np-03,colorfield,ordered,False,13124.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,line-p-08,line chart,permuted,True,27976.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,cf-np-07,colorfield,ordered,True,48839.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,cf-p-03,colorfield,permuted,True,16887.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,cf-np-01,colorfield,ordered,True,13313.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,line-np-09,line chart,ordered,False,36344.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,cf-np-02,colorfield,ordered,True,22704.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,line-np-06,line chart,ordered,True,24017.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,line-p-00,line chart,permuted,True,21052.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,cf-np-00,colorfield,ordered,True,16126.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,cf-np-05,colorfield,ordered,True,13059.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,line-p-02,line chart,permuted,True,14562.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,line-p-01,line chart,permuted,False,14255.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,line-p-05,line chart,permuted,True,18387.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,cf-p-05,colorfield,permuted,True,8017.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,line-np-08,line chart,ordered,True,20800.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,line-np-05,line chart,ordered,False,20840.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,cf-p-09,colorfield,permuted,True,21827.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,line-np-04,line chart,ordered,True,14300.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,line-p-03,line chart,permuted,False,17214.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,cf-np-04,colorfield,ordered,True,16201.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,cf-p-00,colorfield,permuted,True,17386.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,line-np-03,line chart,ordered,True,26654.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,line-p-06,line chart,permuted,False,32806.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,cf-np-06,colorfield,ordered,False,25396.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,cf-np-08,colorfield,ordered,True,14998.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,cf-p-08,colorfield,permuted,False,12215.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,line-p-07,line chart,permuted,False,19140.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,cf-np-09,colorfield,ordered,False,17912.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,line-np-02,line chart,ordered,True,10856.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,line-np-01,line chart,ordered,False,24306.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,cf-p-01,colorfield,permuted,False,31560.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,line-p-09,line chart,permuted,False,8865.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,line-np-07,line chart,ordered,False,18768.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,line-np-00,line chart,ordered,False,18287.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,cf-p-06,colorfield,permuted,True,21366.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,cf-p-07,colorfield,permuted,False,13395.0
5f20a3ed-f71a-44b3-b53f-358bc834d8ff,line-p-04,line chart,permuted,True,19721.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,line-np-07,line chart,ordered,False,21499.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,line-p-04,line chart,permuted,True,11019.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,cf-np-08,colorfield,ordered,True,13814.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,line-p-03,line chart,permuted,False,35578.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,cf-p-00,colorfield,permuted,False,16952.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,cf-np-01,colorfield,ordered,True,12908.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,cf-np-06,colorfield,ordered,False,12241.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,cf-np-09,colorfield,ordered,False,30965.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,line-p-07,line chart,permuted,False,18570.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,line-np-05,line chart,ordered,False,44493.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,cf-p-04,colorfield,permuted,False,10475.0
64a7c7ff-f7e0-42a2-b1a6-b8d9680376e8,cf-p-06,colorfield,permuted,True,10741.0
